Year,Senator,State,Party,Age
1795,Stephen Mix Mitchell,Connecticut,Federalist,52
1795,James Jackson,Georgia,Democratic-Republican,38
1795,Richard Potts,Maryland,Federalist,42
1795,Frederick Frelinghuysen,New Jersey,Federalist,42
1795,William Bradford,Rhode Island,Federalist,66
1795,John M. Vining,Delaware,Federalist,37
1795,Alexander Martin,North Carolina,Democratic-Republican,55
1795,John Langdon,New Hampshire,Democratic-Republican,54
1795,Samuel Livermore,New Hampshire,Federalist,63
1795,Henry Tazewell,Virginia,Democratic-Republican,42
1795,Stevens T. Mason,Virginia,Democratic-Republican,35
1795,James Ross,Pennsylvania,Federalist,33
1795,Pierce Butler,South Carolina,Democratic-Republican,51
1795,Jonathan Trumbull Jr.,Connecticut,Federalist,55
1795,George Walton,Georgia,Federalist,46
1795,Elijah Paine,Vermont,Federalist,38
1795,Humphrey Marshall,Kentucky,Federalist,35
1795,William Bingham,Pennsylvania,Federalist,43
1795,Henry Latimer,Delaware,Federalist,43
1795,Timothy Bloodworth,North Carolina,Democratic-Republican,59
1795,Jacob Read,South Carolina,Federalist,43
1796,Oliver Ellsworth,Connecticut,Federalist,51
1796,Rufus King,New York,Federalist,41
1796,Caleb Strong,Massachusetts,Federalist,51
1796,James Gunn,Georgia,Democratic-Republican,43
1796,John Henry,Maryland,Federalist,46
1796,Theodore Foster,Rhode Island,Federalist,44
1796,George Cabot,Massachusetts,Federalist,44
1796,Aaron Burr,New York,Democratic-Republican,40
1796,Moses Robinson,Vermont,Democratic-Republican,55
1796,John Rutherfurd,New Jersey,Federalist,36
1796,John Brown,Kentucky,Democratic-Republican,39
1796,Richard Potts,Maryland,Federalist,43
1796,Frederick Frelinghuysen,New Jersey,Federalist,43
1796,William Bradford,Rhode Island,Federalist,67
1796,John M. Vining,Delaware,Federalist,38
1796,Alexander Martin,North Carolina,Democratic-Republican,56
1796,John Langdon,New Hampshire,Democratic-Republican,55
1796,Samuel Livermore,New Hampshire,Federalist,64
1796,Henry Tazewell,Virginia,Democratic-Republican,43
1796,Stevens T. Mason,Virginia,Democratic-Republican,36
1796,James Ross,Pennsylvania,Federalist,34
1796,Pierce Butler,South Carolina,Democratic-Republican,52
1796,Jonathan Trumbull Jr.,Connecticut,Federalist,56
1796,George Walton,Georgia,Federalist,47
1796,Elijah Paine,Vermont,Federalist,39
1796,Humphrey Marshall,Kentucky,Federalist,36
1796,William Bingham,Pennsylvania,Federalist,44
1796,Henry Latimer,Delaware,Federalist,44
1796,Timothy Bloodworth,North Carolina,Democratic-Republican,60
1796,Jacob Read,South Carolina,Federalist,44
1796,William Cocke,Tennessee,Democratic-Republican,48
1796,Isaac Tichenor,Vermont,Federalist,42
1796,William Blount,Tennessee,Democratic-Republican,47
1796,John Hunter,South Carolina,Democratic-Republican,46
1796,Richard Stockton,New Jersey,Federalist,32
1796,Theodore Sedgwick,Massachusetts,Federalist,50
1796,Josiah Tattnall,Georgia,Democratic-Republican,34
1796,John Laurance,New York,Federalist,46
1796,Benjamin Goodhue,Massachusetts,Federalist,48
1796,John E. Howard,Maryland,Federalist,44
1796,Uriah Tracy,Connecticut,Federalist,41
1796,James Hillhouse,Connecticut,Federalist,42
1797,James Gunn,Georgia,Democratic-Republican,44
1797,John Henry,Maryland,Federalist,47
1797,Theodore Foster,Rhode Island,Federalist,45
1797,Aaron Burr,New York,Democratic-Republican,41
1797,Moses Robinson,Vermont,Democratic-Republican,56
1797,John Rutherfurd,New Jersey,Federalist,37
1797,John Brown,Kentucky,Democratic-Republican,40
1797,William Bradford,Rhode Island,Federalist,68
1797,John M. Vining,Delaware,Federalist,39
1797,Alexander Martin,North Carolina,Democratic-Republican,57
1797,John Langdon,New Hampshire,Democratic-Republican,56
1797,Samuel Livermore,New Hampshire,Federalist,65
1797,Henry Tazewell,Virginia,Democratic-Republican,44
1797,Stevens T. Mason,Virginia,Democratic-Republican,37
1797,James Ross,Pennsylvania,Federalist,35
1797,Elijah Paine,Vermont,Federalist,40
1797,Humphrey Marshall,Kentucky,Federalist,37
1797,William Bingham,Pennsylvania,Federalist,45
1797,Henry Latimer,Delaware,Federalist,45
1797,Timothy Bloodworth,North Carolina,Democratic-Republican,61
1797,Jacob Read,South Carolina,Federalist,45
1797,William Cocke,Tennessee,Democratic-Republican,49
1797,Isaac Tichenor,Vermont,Federalist,43
1797,William Blount,Tennessee,Democratic-Republican,48
1797,John Hunter,South Carolina,Democratic-Republican,47
1797,Richard Stockton,New Jersey,Federalist,33
1797,Theodore Sedgwick,Massachusetts,Federalist,51
1797,Josiah Tattnall,Georgia,Democratic-Republican,35
1797,John Laurance,New York,Federalist,47
1797,Benjamin Goodhue,Massachusetts,Federalist,49
1797,John E. Howard,Maryland,Federalist,45
1797,Uriah Tracy,Connecticut,Federalist,42
1797,James Hillhouse,Connecticut,Federalist,43
1797,Andrew Jackson,Tennessee,Democratic-Republican,30
1797,James Lloyd of Maryland,Maryland,Federalist,52
1797,Ray Greene,Rhode Island,Federalist,32
1797,James Gunn,Georgia,Federalist,44
1797,Nathaniel Chipman,Vermont,Federalist,45
1797,Joseph Anderson,Tennessee,Democratic-Republican,40
1798,Theodore Foster,Rhode Island,Federalist,46
1798,John Rutherfurd,New Jersey,Federalist,38
1798,John Brown,Kentucky,Democratic-Republican,41
1798,John M. Vining,Delaware,Federalist,40
1798,Alexander Martin,North Carolina,Democratic-Republican,58
1798,John Langdon,New Hampshire,Democratic-Republican,57
1798,Samuel Livermore,New Hampshire,Federalist,66
1798,Henry Tazewell,Virginia,Democratic-Republican,45
1798,Stevens T. Mason,Virginia,Democratic-Republican,38
1798,James Ross,Pennsylvania,Federalist,36
1798,Elijah Paine,Vermont,Federalist,41
1798,Humphrey Marshall,Kentucky,Federalist,38
1798,William Bingham,Pennsylvania,Federalist,46
1798,Henry Latimer,Delaware,Federalist,46
1798,Timothy Bloodworth,North Carolina,Democratic-Republican,62
1798,Jacob Read,South Carolina,Federalist,46
1798,John Hunter,South Carolina,Democratic-Republican,48
1798,Richard Stockton,New Jersey,Federalist,34
1798,Theodore Sedgwick,Massachusetts,Federalist,52
1798,Josiah Tattnall,Georgia,Democratic-Republican,36
1798,John Laurance,New York,Federalist,48
1798,Benjamin Goodhue,Massachusetts,Federalist,50
1798,John E. Howard,Maryland,Federalist,46
1798,Uriah Tracy,Connecticut,Federalist,43
1798,James Hillhouse,Connecticut,Federalist,44
1798,Andrew Jackson,Tennessee,Democratic-Republican,31
1798,James Lloyd of Maryland,Maryland,Federalist,53
1798,Ray Greene,Rhode Island,Federalist,33
1798,James Gunn,Georgia,Federalist,45
1798,Nathaniel Chipman,Vermont,Federalist,46
1798,Joseph Anderson,Tennessee,Democratic-Republican,41
1798,Joshua Clayton,Delaware,Federalist,54
1798,Daniel Smith,Tennessee,Democratic-Republican,50
1798,John Sloss Hobart,New York,Federalist,60
1798,William North,New York,Federalist,43
1798,Franklin Davenport,New Jersey,Federalist,43
1798,James Watson,New York,Federalist,48
1798,Charles Pinckney,South Carolina,Democratic-Republican,44
1799,Theodore Foster,Rhode Island,Federalist,47
1799,John Brown,Kentucky,Democratic-Republican,42
1799,Alexander Martin,North Carolina,Democratic-Republican,59
1799,John Langdon,New Hampshire,Democratic-Republican,58
1799,Samuel Livermore,New Hampshire,Federalist,67
1799,Henry Tazewell,Virginia,Democratic-Republican,46
1799,Stevens T. Mason,Virginia,Democratic-Republican,39
1799,James Ross,Pennsylvania,Federalist,37
1799,Elijah Paine,Vermont,Federalist,42
1799,Humphrey Marshall,Kentucky,Federalist,39
1799,William Bingham,Pennsylvania,Federalist,47
1799,Henry Latimer,Delaware,Federalist,47
1799,Timothy Bloodworth,North Carolina,Democratic-Republican,63
1799,Jacob Read,South Carolina,Federalist,47
1799,Richard Stockton,New Jersey,Federalist,35
1799,Theodore Sedgwick,Massachusetts,Federalist,53
1799,Josiah Tattnall,Georgia,Democratic-Republican,37
1799,John Laurance,New York,Federalist,49
1799,Benjamin Goodhue,Massachusetts,Federalist,51
1799,John E. Howard,Maryland,Federalist,47
1799,Uriah Tracy,Connecticut,Federalist,44
1799,James Hillhouse,Connecticut,Federalist,45
1799,James Lloyd of Maryland,Maryland,Federalist,54
1799,Ray Greene,Rhode Island,Federalist,34
1799,James Gunn,Georgia,Federalist,46
1799,Nathaniel Chipman,Vermont,Federalist,47
1799,Joseph Anderson,Tennessee,Democratic-Republican,42
1799,Franklin Davenport,New Jersey,Federalist,44
1799,James Watson,New York,Federalist,49
1799,Charles Pinckney,South Carolina,Democratic-Republican,45
1799,Samuel Dexter,Massachusetts,Federalist,38
1799,James Schureman,New Jersey,Federalist,43
1799,Wilson Cary Nicholas,Virginia,Democratic-Republican,38
1799,William H. Wells,Delaware,Federalist,30
1799,Jonathan Dayton,New Jersey,Federalist,39
1799,Jesse Franklin,North Carolina,Democratic-Republican,39
1799,Abraham Baldwin,Georgia,Democratic-Republican,45
1800,Theodore Foster,Rhode Island,Federalist,48
1800,John Brown,Kentucky,Democratic-Republican,43
1800,John Langdon,New Hampshire,Democratic-Republican,59
1800,Samuel Livermore,New Hampshire,Federalist,68
1800,Stevens T. Mason,Virginia,Democratic-Republican,40
1800,James Ross,Pennsylvania,Federalist,38
1800,Elijah Paine,Vermont,Federalist,43
1800,Humphrey Marshall,Kentucky,Federalist,40
1800,William Bingham,Pennsylvania,Federalist,48
1800,Henry Latimer,Delaware,Federalist,48
1800,Timothy Bloodworth,North Carolina,Democratic-Republican,64
1800,Jacob Read,South Carolina,Federalist,48
1800,John Laurance,New York,Federalist,50
1800,Benjamin Goodhue,Massachusetts,Federalist,52
1800,John E. Howard,Maryland,Federalist,48
1800,Uriah Tracy,Connecticut,Federalist,45
1800,James Hillhouse,Connecticut,Federalist,46
1800,James Lloyd of Maryland,Maryland,Federalist,55
1800,Ray Greene,Rhode Island,Federalist,35
1800,James Gunn,Georgia,Federalist,47
1800,Nathaniel Chipman,Vermont,Federalist,48
1800,Joseph Anderson,Tennessee,Democratic-Republican,43
1800,James Watson,New York,Federalist,50
1800,Charles Pinckney,South Carolina,Democratic-Republican,46
1800,Samuel Dexter,Massachusetts,Federalist,39
1800,James Schureman,New Jersey,Federalist,44
1800,Wilson Cary Nicholas,Virginia,Democratic-Republican,39
1800,William H. Wells,Delaware,Federalist,31
1800,Jonathan Dayton,New Jersey,Federalist,40
1800,Jesse Franklin,North Carolina,Democratic-Republican,40
1800,Abraham Baldwin,Georgia,Democratic-Republican,46
1800,William Hindman,Maryland,Federalist,57
1800,John Armstrong Jr.,New York,Democratic-Republican,42
1800,Jonathan Mason,Massachusetts,Federalist,44
1800,Gouverneur Morris,New York,Federalist,48
1800,Dwight Foster,Massachusetts,Federalist,43
1801,Theodore Foster,Rhode Island,Federalist,49
1801,John Brown,Kentucky,Democratic-Republican,44
1801,John Langdon,New Hampshire,Democratic-Republican,60
1801,Samuel Livermore,New Hampshire,Federalist,69
1801,Stevens T. Mason,Virginia,Democratic-Republican,41
1801,James Ross,Pennsylvania,Federalist,39
1801,Elijah Paine,Vermont,Federalist,44
1801,Humphrey Marshall,Kentucky,Federalist,41
1801,William Bingham,Pennsylvania,Federalist,49
1801,Henry Latimer,Delaware,Federalist,49
1801,Timothy Bloodworth,North Carolina,Democratic-Republican,65
1801,Jacob Read,South Carolina,Federalist,49
1801,John E. Howard,Maryland,Federalist,49
1801,Uriah Tracy,Connecticut,Federalist,46
1801,James Hillhouse,Connecticut,Federalist,47
1801,Ray Greene,Rhode Island,Federalist,36
1801,James Gunn,Georgia,Federalist,48
1801,Nathaniel Chipman,Vermont,Federalist,49
1801,Joseph Anderson,Tennessee,Democratic-Republican,44
1801,Charles Pinckney,South Carolina,Democratic-Republican,47
1801,James Schureman,New Jersey,Federalist,45
1801,Wilson Cary Nicholas,Virginia,Democratic-Republican,40
1801,William H. Wells,Delaware,Federalist,32
1801,Jonathan Dayton,New Jersey,Federalist,41
1801,Jesse Franklin,North Carolina,Democratic-Republican,41
1801,Abraham Baldwin,Georgia,Democratic-Republican,47
1801,William Hindman,Maryland,Federalist,58
1801,John Armstrong Jr.,New York,Democratic-Republican,43
1801,Jonathan Mason,Massachusetts,Federalist,45
1801,Gouverneur Morris,New York,Federalist,49
1801,Dwight Foster,Massachusetts,Federalist,44
1801,Peter Muhlenberg,Pennsylvania,Democratic-Republican,55
1801,James Sheafe,New Hampshire,Federalist,46
1801,John E. Colhoun,South Carolina,Democratic-Republican,52
1801,Aaron Ogden,New Jersey,Federalist,45
1801,Theodore Foster,Rhode Island,Democratic-Republican,49
1801,Simeon Olcott,New Hampshire,Federalist,66
1801,Christopher Ellery,Rhode Island,Democratic-Republican,32
1801,John Breckinridge,Kentucky,Democratic-Republican,41
1801,Robert Wright,Maryland,Democratic-Republican,49
1801,David Stone,North Carolina,Democratic-Republican,31
1801,George Logan,Pennsylvania,Democratic-Republican,48
1801,Samuel White,Delaware,Federalist,31
1801,Thomas Sumter,South Carolina,Democratic-Republican,67
1802,John Brown,Kentucky,Democratic-Republican,45
1802,Stevens T. Mason,Virginia,Democratic-Republican,42
1802,James Ross,Pennsylvania,Federalist,40
1802,John E. Howard,Maryland,Federalist,50
1802,Uriah Tracy,Connecticut,Federalist,47
1802,James Hillhouse,Connecticut,Federalist,48
1802,Nathaniel Chipman,Vermont,Federalist,50
1802,Joseph Anderson,Tennessee,Democratic-Republican,45
1802,Wilson Cary Nicholas,Virginia,Democratic-Republican,41
1802,William H. Wells,Delaware,Federalist,33
1802,Jonathan Dayton,New Jersey,Federalist,42
1802,Jesse Franklin,North Carolina,Democratic-Republican,42
1802,Abraham Baldwin,Georgia,Democratic-Republican,48
1802,John Armstrong Jr.,New York,Democratic-Republican,44
1802,Jonathan Mason,Massachusetts,Federalist,46
1802,Gouverneur Morris,New York,Federalist,50
1802,Dwight Foster,Massachusetts,Federalist,45
1802,James Sheafe,New Hampshire,Federalist,47
1802,John E. Colhoun,South Carolina,Democratic-Republican,53
1802,Aaron Ogden,New Jersey,Federalist,46
1802,Theodore Foster,Rhode Island,Democratic-Republican,50
1802,Simeon Olcott,New Hampshire,Federalist,67
1802,Christopher Ellery,Rhode Island,Democratic-Republican,33
1802,John Breckinridge,Kentucky,Democratic-Republican,42
1802,Robert Wright,Maryland,Democratic-Republican,50
1802,David Stone,North Carolina,Democratic-Republican,32
1802,George Logan,Pennsylvania,Democratic-Republican,49
1802,Samuel White,Delaware,Federalist,32
1802,Thomas Sumter,South Carolina,Democratic-Republican,68
1802,DeWitt Clinton,New York,Democratic-Republican,33
1802,Pierce Butler,South Carolina,Democratic-Republican,58
1802,William Plumer,New Hampshire,Federalist,43
1803,John Brown,Kentucky,Democratic-Republican,46
1803,Stevens T. Mason,Virginia,Democratic-Republican,43
1803,James Ross,Pennsylvania,Federalist,41
1803,John E. Howard,Maryland,Federalist,51
1803,Uriah Tracy,Connecticut,Federalist,48
1803,James Hillhouse,Connecticut,Federalist,49
1803,Nathaniel Chipman,Vermont,Federalist,51
1803,Joseph Anderson,Tennessee,Democratic-Republican,46
1803,Wilson Cary Nicholas,Virginia,Democratic-Republican,42
1803,William H. Wells,Delaware,Federalist,34
1803,Jonathan Dayton,New Jersey,Federalist,43
1803,Jesse Franklin,North Carolina,Democratic-Republican,43
1803,Abraham Baldwin,Georgia,Democratic-Republican,49
1803,Jonathan Mason,Massachusetts,Federalist,47
1803,Gouverneur Morris,New York,Federalist,51
1803,Dwight Foster,Massachusetts,Federalist,46
1803,Aaron Ogden,New Jersey,Federalist,47
1803,Theodore Foster,Rhode Island,Democratic-Republican,51
1803,Simeon Olcott,New Hampshire,Federalist,68
1803,Christopher Ellery,Rhode Island,Democratic-Republican,34
1803,John Breckinridge,Kentucky,Democratic-Republican,43
1803,Robert Wright,Maryland,Democratic-Republican,51
1803,David Stone,North Carolina,Democratic-Republican,33
1803,George Logan,Pennsylvania,Democratic-Republican,50
1803,Samuel White,Delaware,Federalist,33
1803,Thomas Sumter,South Carolina,Democratic-Republican,69
1803,DeWitt Clinton,New York,Democratic-Republican,34
1803,Pierce Butler,South Carolina,Democratic-Republican,59
1803,William Plumer,New Hampshire,Federalist,44
1803,Samuel J. Potter,Rhode Island,Democratic-Republican,50
1803,Abraham B. Venable,Virginia,Democratic-Republican,45
1803,Theodorus Bailey,New York,Democratic-Republican,45
1803,Israel Smith,Vermont,Democratic-Republican,44
1803,Thomas Worthington,Ohio,Democratic-Republican,30
1803,John Quincy Adams,Massachusetts,Federalist,36
1803,John Smith,Ohio,Democratic-Republican,68
1803,Samuel Maclay,Pennsylvania,Democratic-Republican,62
1803,John Condit,New Jersey,Democratic-Republican,48
1803,Timothy Pickering,Massachusetts,Federalist,58
1803,Samuel Smith,Maryland,Democratic-Republican,51
1804,John Brown,Kentucky,Democratic-Republican,47
1804,Uriah Tracy,Connecticut,Federalist,49
1804,James Hillhouse,Connecticut,Federalist,50
1804,Joseph Anderson,Tennessee,Democratic-Republican,47
1804,Wilson Cary Nicholas,Virginia,Democratic-Republican,43
1804,William H. Wells,Delaware,Federalist,35
1804,Jonathan Dayton,New Jersey,Federalist,44
1804,Jesse Franklin,North Carolina,Democratic-Republican,44
1804,Abraham Baldwin,Georgia,Democratic-Republican,50
1804,Simeon Olcott,New Hampshire,Federalist,69
1804,Christopher Ellery,Rhode Island,Democratic-Republican,35
1804,John Breckinridge,Kentucky,Democratic-Republican,44
1804,Robert Wright,Maryland,Democratic-Republican,52
1804,David Stone,North Carolina,Democratic-Republican,34
1804,George Logan,Pennsylvania,Democratic-Republican,51
